Dataset,Description,Category,ID
25069,Mean FA in superior cerebellar peduncle on FA skeleton (left),Mean FA,1705
25068,Mean FA in superior cerebellar peduncle on FA skeleton (right),Mean FA,1706
25081,Mean FA in superior corona radiata on FA skeleton (left),Mean FA,1707
25080,Mean FA in superior corona radiata on FA skeleton (right),Mean FA,1708
25099,Mean FA in superior fronto-occipital fasciculus on FA skeleton (left),Mean FA,1709
25098,Mean FA in superior fronto-occipital fasciculus on FA skeleton (right),Mean FA,1710
25097,Mean FA in superior longitudinal fasciculus on FA skeleton (left),Mean FA,1711
25096,Mean FA in superior longitudinal fasciculus on FA skeleton (right),Mean FA,1712
25103,Mean FA in tapetum on FA skeleton (left),Mean FA,1713
25102,Mean FA in tapetum on FA skeleton (right),Mean FA,1714
25101,Mean FA in uncinate fasciculus on FA skeleton (left),Mean FA,1715
25100,Mean FA in uncinate fasciculus on FA skeleton (right),Mean FA,1716
25367,Mean ICVF in anterior corona radiata on FA skeleton (left),Mean ICVF,1717
25366,Mean ICVF in anterior corona radiata on FA skeleton (right),Mean ICVF,1718
25361,Mean ICVF in anterior limb of internal capsule on FA skeleton (left),Mean ICVF,1719
25360,Mean ICVF in anterior limb of internal capsule on FA skeleton (right),Mean ICVF,1720
25347,Mean ICVF in body of corpus callosum on FA skeleton,Mean ICVF,1721
25359,Mean ICVF in cerebral peduncle on FA skeleton (left),Mean ICVF,1722
25358,Mean ICVF in cerebral peduncle on FA skeleton (right),Mean ICVF,1723
25379,Mean ICVF in cingulum cingulate gyrus on FA skeleton (left),Mean ICVF,1724
25378,Mean ICVF in cingulum cingulate gyrus on FA skeleton (right),Mean ICVF,1725
25381,Mean ICVF in cingulum hippocampus on FA skeleton (left),Mean ICVF,1726
25380,Mean ICVF in cingulum hippocampus on FA skeleton (right),Mean ICVF,1727
25351,Mean ICVF in corticospinal tract on FA skeleton (left),Mean ICVF,1728
25350,Mean ICVF in corticospinal tract on FA skeleton (right),Mean ICVF,1729
25377,Mean ICVF in external capsule on FA skeleton (left),Mean ICVF,1730
25376,Mean ICVF in external capsule on FA skeleton (right),Mean ICVF,1731
25383,Mean ICVF in fornix cres+stria terminalis on FA skeleton (left),Mean ICVF,1732
25382,Mean ICVF in fornix cres+stria terminalis on FA skeleton (right),Mean ICVF,1733
25349,Mean ICVF in fornix on FA skeleton,Mean ICVF,1734
25346,Mean ICVF in genu of corpus callosum on FA skeleton,Mean ICVF,1735
25355,Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),Mean ICVF,1736
25354,Mean ICVF in inferior cerebellar peduncle on FA skeleton (right),Mean ICVF,1737
25353,Mean ICVF in medial lemniscus on FA skeleton (left),Mean ICVF,1738
25352,Mean ICVF in medial lemniscus on FA skeleton (right),Mean ICVF,1739
25344,Mean ICVF in middle cerebellar peduncle on FA skeleton,Mean ICVF,1740
25345,Mean ICVF in pontine crossing tract on FA skeleton,Mean ICVF,1741
25371,Mean ICVF in posterior corona radiata on FA skeleton (left),Mean ICVF,1742
25370,Mean ICVF in posterior corona radiata on FA skeleton (right),Mean ICVF,1743
25363,Mean ICVF in posterior limb of internal capsule on FA skeleton (left),Mean ICVF,1744
25362,Mean ICVF in posterior limb of internal capsule on FA skeleton (right),Mean ICVF,1745
25373,Mean ICVF in posterior thalamic radiation on FA skeleton (left),Mean ICVF,1746
25372,Mean ICVF in posterior thalamic radiation on FA skeleton (right),Mean ICVF,1747
25365,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left),Mean ICVF,1748
25364,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right),Mean ICVF,1749
25375,Mean ICVF in sagittal stratum on FA skeleton (left),Mean ICVF,1750
25374,Mean ICVF in sagittal stratum on FA skeleton (right),Mean ICVF,1751
25348,Mean ICVF in splenium of corpus callosum on FA skeleton,Mean ICVF,1752
25357,Mean ICVF in superior cerebellar peduncle on FA skeleton (left),Mean ICVF,1753
25356,Mean ICVF in superior cerebellar peduncle on FA skeleton (right),Mean ICVF,1754
25369,Mean ICVF in superior corona radiata on FA skeleton (left),Mean ICVF,1755
25368,Mean ICVF in superior corona radiata on FA skeleton (right),Mean ICVF,1756
25387,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left),Mean ICVF,1757
25386,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),Mean ICVF,1758
25385,Mean ICVF in superior longitudinal fasciculus on FA skeleton (left),Mean ICVF,1759
25384,Mean ICVF in superior longitudinal fasciculus on FA skeleton (right),Mean ICVF,1760
25391,Mean ICVF in tapetum on FA skeleton (left),Mean ICVF,1761
25390,Mean ICVF in tapetum on FA skeleton (right),Mean ICVF,1762
